,brand,vintage,rating,price,num_ratings,location
536,Croft,Vintage Port 2016,4.4,84.99,93,"Porto, Portugal"
537,Dow's,Vintage Port 2016,4.4,109.97,92,"Porto, Portugal"
538,Rocca di Frassinello,Baffonero Maremma Toscana 2016,4.4,340.0,91,"Maremma Toscana, Italy"
539,Casa Vinicola Bennati,Amarone della Valpolicella 2019,4.4,27.99,89,"Amarone della Valpolicella, Italy"
540,Viña Meín,Emilio Rojo Blanco 2018,4.4,107.0,88,"Ribeiro, Spain"
541,Bruno Giacosa,Falletto Barolo 2015,4.4,174.95,87,"Barolo, Italy"
542,Didier Dagueneau (Louis-Benjamin Dagueneau),Silex 2019,4.4,182.99,87,"Pouilly-Fumé, France"
543,Bouchard Père & Fils,Corton-Charlemagne Grand Cru Blanc 2016,4.4,224.99,85,"Corton-Charlemagne Grand Cru, France"
544,E. Pira & Figli,Mosconi Barolo 2017,4.4,117.4,84,"Barolo, Italy"
545,Paolo Scavino,Rocche dell'Annunziata Barolo Riserva 2013,4.4,265.0,82,"Barolo, Italy"
546,Domaine Julien Masquin,Châteauneuf-du-Pape Memora Rouge 2020,4.4,32.99,82,"Châteauneuf-du-Pape, France"
547,Sandeman,Vintage Port 1994,4.4,89.99,82,"Porto, Portugal"
548,Pommery,Brut Cuvée Louise Rosé Champagne 2004,4.4,169.9,82,"Champagne, France"
549,Château La Conseillante,Duo de Conseillante Pomerol 2016,4.4,89.99,81,"Pomerol, France"
